Gene,baseMean,log2FoldChange,pvalue,padj
DPEP1|1800,302.2293369,7.937565335,5.15738618319599E-19,2.82615971839965E-17
HIST1H3B|8358,7.22606696,7.934339911,1.88511187388853E-05,8.19700697372314E-05
PI3|5266,527.0954115,7.932409424,8.07957628765E-10,8.96187159358717E-09
POSTN|10631,8149.214273,7.828213864,6.58828868606323E-14,1.55737132923375E-12
HOXB7|3217,227.4303768,7.768955746,1.94785753887636E-15,6.02118975438879E-14
PBK|55872,1089.944912,7.760668512,4.77931421007555E-50,1.15235239747684E-46
HIST1H2BH|8345,15.26516998,7.731348081,7.02042383647321E-09,6.46073260409026E-08
PLA2G2A|5320,1639.112237,7.693478389,6.5070338878864E-11,8.97170669502793E-10
CDC45|8318,413.0570349,7.651058817,2.28502019798076E-33,8.81515091977016E-31
MELK|9833,611.5920289,7.585132231,2.27647154121256E-40,1.90916780688909E-37
RRM2|6241,2012.165443,7.554016726,1.27720983627671E-68,8.21203351064714E-65
TOP2A|7153,4318.897162,7.550834483,1.94004303949436E-54,7.48429803776135E-51
BARHL1|56751,13.68583461,7.525935305,7.0443520471128E-08,5.24020465240103E-07
AURKB|9212,502.1900796,7.499467418,8.13394848780017E-38,5.81095305115472E-35
MMP9|4318,1871.431108,7.446974552,2.30063225560407E-20,1.5807619132216E-18
HOXC9|3225,83.25609931,7.428640152,3.63104410899721E-10,4.3234080134844E-09
HOXB3|3213,533.386346,7.360115529,1.53763271400419E-17,6.77155192247187E-16
CCNB2|9133,872.1727489,7.347241663,7.54818958034917E-48,1.32360935286687E-44
NDC80|10403,527.9235697,7.290993006,9.4810800268722E-44,1.14300345398961E-40
HIST1H3G|8355,6.07214006,7.250885413,5.13591228221799E-05,0.000201764993913855
FAM64A|54478,1080.882356,7.243566389,5.44126037387353E-40,4.37318630631861E-37
KIF20A|10112,654.8183398,7.193561128,5.01546277359483E-47,7.44178934152852E-44
GSC|145258,90.22740634,7.183107209,2.28195502511649E-13,4.91257036601251E-12
FAM183A|440585,63.61567496,7.164707023,3.10388687682997E-07,1.98840498064342E-06
HPD|3242,119.6635262,7.082642586,8.6895106873075E-12,1.41564165242799E-10
HOXD4|3233,59.80371344,7.021634858,2.34067095105064E-10,2.90161966419124E-09
CXCL13|10563,66.76784021,7.017793093,4.13221076926318E-06,2.09038063279091E-05
HOXB5|3215,33.77785038,6.992941534,7.8280299741473E-07,4.60209906038791E-06
H19|283120,4786.871455,6.97591511,9.02497874430581E-11,1.2139666317916E-09
NKX3-2|579,55.06585026,6.947468014,3.71470056901488E-10,4.40940672466019E-09
TROAP|10024,490.9504227,6.907470242,2.41811885156794E-37,1.50461595251271E-34
EPR1|8475,1193.349381,6.806353581,1.9270223885248E-37,1.23901116174183E-34
HOXA1|3198,70.67696715,6.790828589,2.56217681074023E-12,4.59310673813831E-11
CCL18|6362,77.0962181,6.777726515,7.92468475496926E-05,0.000297218052184721
NCAPG|64151,832.9012379,6.709134704,3.61284132693451E-52,9.95544233646281E-49
DAZ1|1617,40.55639619,6.678993768,0.00210453560747447,0.0056334148393804
LBX1|10660,6.807435465,6.612639515,0.000197679646609595,0.000677753768832649
E2F8|79733,131.7585421,6.598565699,2.71721499818417E-22,2.48399810900353E-20
MMP8|4317,10.67088684,6.597801186,0.000103112157638056,0.000378411417176648
